run,oversample,batch_size,epoch,learning_Rate,model_name,accuracy,precision,recall,f1,TP,FP,TN,FN
6,False,16,10,1.00E-05,roberta-base,0.89527721,0.66666667,0.70886076,0.68711656,56,28,380,23
6,False,16,4,3.00E-05,distilbert-base-uncased,0.90143737,0.72463768,0.63291139,0.67567568,50,19,389,29
6,False,16,4,3.00E-05,bert-base-uncased,0.89938398,0.734375,0.59493671,0.65734266,47,17,391,32
6,True,32,10,1.00E-05,roberta-base,0.90349076,0.68604651,0.74683544,0.71515152,59,27,381,20
6,True,16,4,2.00E-05,bert-base-uncased,0.89527721,0.7,0.62025316,0.65771812,49,21,387,30
6,True,32,5,3.00E-05,xlnet-base-cased,0.88706366,0.65384615,0.64556962,0.64968153,51,27,381,28
6,True,32,3,3.00E-05,distilbert-base-uncased,0.88706366,0.68181818,0.56962025,0.62068966,45,21,387,34
7,False,32,3,2.00E-05,distilbert-base-uncased,0.89711934,0.66666667,0.71794872,0.69135802,56,28,380,22
7,False,16,3,3.00E-05,bert-base-uncased,0.89506173,0.65882353,0.71794872,0.68711656,56,29,379,22
7,False,32,5,2.00E-05,roberta-base,0.87654321,0.58490566,0.79487179,0.67391304,62,44,364,16
7,False,16,5,3.00E-05,xlnet-base-cased,0.87242798,0.58163265,0.73076923,0.64772727,57,41,367,21
7,True,16,3,2.00E-05,xlnet-base-cased,0.89300412,0.63541667,0.78205128,0.70114943,61,35,373,17
7,True,16,5,2.00E-05,roberta-base,0.88683128,0.6185567,0.76923077,0.68571429,60,37,371,18
7,True,32,2,5.00E-05,bert-base-uncased,0.8909465,0.66666667,0.64102564,0.65359477,50,25,383,28
7,True,32,3,3.00E-05,distilbert-base-uncased,0.87654321,0.60465116,0.66666667,0.63414634,52,34,374,26
8,False,32,4,5.00E-05,bert-base-uncased,0.92592593,0.78378378,0.74358974,0.76315789,58,16,392,20
8,False,16,10,3.00E-05,roberta-base,0.91152263,0.73972603,0.69230769,0.71523179,54,19,389,24
8,False,16,3,2.00E-05,distilbert-base-uncased,0.89711934,0.65555556,0.75641026,0.70238095,59,31,377,19
8,False,16,5,3.00E-05,xlnet-base-cased,0.89506173,0.68,0.65384615,0.66666667,51,24,384,27
8,True,16,2,5.00E-05,bert-base-uncased,0.9218107,0.75,0.76923077,0.75949367,60,20,388,18
8,True,16,3,5.00E-05,distilbert-base-uncased,0.91358025,0.77272727,0.65384615,0.70833333,51,15,393,27
8,True,16,3,1.00E-05,xlnet-base-cased,0.87860082,0.5840708,0.84615385,0.69109948,66,47,361,12
8,True,16,10,1.00E-05,roberta-base,0.89711934,0.66666667,0.71794872,0.69135802,56,28,380,22
9,False,16,4,2.00E-05,bert-base-uncased,0.8909465,0.6625,0.67088608,0.66666667,53,27,380,26
9,False,32,5,1.00E-05,xlnet-base-cased,0.87860082,0.61111111,0.69620253,0.65088757,55,35,372,24
9,False,16,5,2.00E-05,roberta-base,0.88683128,0.66666667,0.60759494,0.63576159,48,24,383,31
9,False,16,2,2.00E-05,distilbert-base-uncased,0.88888889,0.69230769,0.56962025,0.625,45,20,387,34
9,True,32,3,3.00E-05,xlnet-base-cased,0.88888889,0.66233766,0.64556962,0.65384615,51,26,381,28
9,True,16,2,5.00E-05,distilbert-base-uncased,0.89300412,0.69014085,0.62025316,0.65333333,49,22,385,30
9,True,32,5,2.00E-05,roberta-base,0.88477366,0.64556962,0.64556962,0.64556962,51,28,379,28
9,True,32,2,5.00E-05,bert-base-uncased,0.88477366,0.65753425,0.60759494,0.63157895,48,25,382,31
